Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",11,6,15,2.8896,23,23,0,0,,144,572,116,50,46,14,30,,5,166,10.3726,1.88392,5.50587,0.846909,0.29114,0.0528781,0.23826152458786964,0.216425,1.01307,0.28764,0.753504,,,2.76049,4.1581,3.8305,13.8100004196167,,,,,,,818.8000000000001,5.686111111111112,765,5.3125,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",9,6,14,2.93104,22,22,0,0,,133,532,106,47,43,12,35,,5,156,10.5483,2.39362,4.40683,0.787719,0.292401,0.0663517,0.226049043238163,0.214586,1.06101,0.289319,0.75337,,,2.81108,3.73281,3.83548,10.890000343322754,,,,,,,753.0000000000001,5.661654135338347,701,5.2706766917293235,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Zack Wheeler","PHI",10,6,15,3.2935,24,24,0,0,,149,601,123,59,55,17,37,,6,164,9.87181,2.25284,4.38193,1.01241,0.272358,0.0621548,0.21020324155688286,0.221015,1.07595,0.28229,0.738389,,,3.25119,3.555,3.44192,21.649999618530273,,,,,,,772.7000000000003,5.185906040268458,723,4.852348993288591,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Logan Webb","SFG",10,7,14,3.35103,23,23,0,0,,150,616,142,61,56,11,35,,4,132,7.96584,2.12274,3.75261,0.647381,0.214782,0.0572353,0.15754669904708862,0.245719,1.18384,0.301985,0.719323,,,3.06122,3.2559,3.10437,98.33999633789062,,,,,,,752.5,5.016666666666667,754,5.026666666666666,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Garrett Crochet","BOS",9,5,13,3.22364,22,22,0,0,,118,478,93,46,42,12,37,,4,149,11.3501,2.78634,4.07349,0.934478,0.311792,0.0765418,0.23525011539459229,0.213329,1.09926,0.293509,0.744243,,,2.96449,3.09715,2.87819,23.670000076293945,,,,,,,658.8,5.583050847457627,609,5.161016949152542,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Chris Sale","ATL",10,6,13,3.22887,22,22,0,0,,130,530,109,51,47,14,34,,7,156,10.7718,2.35851,4.56719,0.941683,0.294435,0.0644675,0.22996794432401657,0.223759,1.10107,0.299975,0.744941,,,3.01993,3.02688,3.08843,35.97999954223633,,,,,,,695.4,5.349230769230769,657,5.053846153846154,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Yoshinobu Yamamoto","LAD",9,5,12,3.31778,20,20,0,0,,118,476,99,47,43,11,31,,3,127,9.70497,2.37843,4.08041,0.859195,0.266717,0.0653654,0.2013520672917366,0.224149,1.10499,0.289203,0.725074,,,3.06871,2.87538,2.56507,59.349998474121094,,,,,,,632.5000000000001,5.360169491525425,599,5.076271186440678,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Max Fried","NYY",10,6,13,3.374,22,22,0,0,,138,570,123,56,52,13,40,,5,129,8.4,2.58566,3.24868,0.857761,0.226197,0.0696272,0.15656936168670654,0.234206,1.17727,0.286746,0.737451,,,3.45863,2.79256,2.79521,96.06999969482422,,,,,,,664.5,4.815217391304348,644,4.666666666666667,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Cole Ragans","KCR",8,6,12,3.46137,21,21,0,0,,124,512,102,52,48,13,45,,4,147,10.6883,3.27054,3.26805,0.93253,0.287231,0.0878905,0.1993403360247612,0.220211,1.18694,0.294018,0.737993,,,3.26379,2.79192,2.5642,45.599998474121094,,,,,,,639.5,5.157258064516129,598,4.82258064516129,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Jacob deGrom","TEX",6,4,11,3.24217,19,19,0,0,,102,407,83,40,37,13,23,,4,121,10.6474,1.98009,5.37724,1.11695,0.297976,0.0554144,0.24256176501512527,0.217629,1.02855,0.284225,0.745181,,,3.12,2.62091,2.21647,49.810001373291016,,,,,,,540.1000000000001,5.295098039215688,502,4.921568627450981,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
