Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",116,500,406,120,62,20,1,37,85,92,86,10,122,4,3,0,,6,2,0.294716,0.17212,0.244565,0.703779,0.420733,0.621782,0.439127,1.04251,0.327066,3.95481,0.331037,-0.449564,-0.504255,107.708,49.6307,189.298,-0.953819,-1.31188,49.78495043516159,-7.758174896240234,6.07118,3.119999885559082,,,,,,,953.3,8.218103448,953.3,8.218103448,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",114,491,444,131,78,27,5,21,77,68,37,4,79,5,4,1,,26,8,0.295405,0.0758539,0.160898,0.47144,0.353574,0.520268,0.374672,0.873842,0.224862,7.00449,0.317053,2.13257,1.10196,80.6839,23.5907,139.723,3.23453,2.10329,25.422576665878296,7.36624813079834,5.08646,1.6299999952316284,,,,,,,746.8,6.550877192,746.8,6.550877192,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Fernando Tatis Jr.","SDP",113,488,436,125,74,23,2,26,79,69,44,1,97,5,3,1,,19,4,0.286355,0.0901099,0.198795,0.453279,0.356314,0.523612,0.380343,0.879926,0.237257,5.71169,0.31407,1.72582,1.10138,82.4416,25.6649,146.479,2.8272,3.22711,29.776851415634155,-2.153595209121704,4.54687,11.619999885559082,,,,,,,758.4,6.711504424,758.4,6.711504424,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Mookie Betts","LAD",112,485,420,118,71,24,2,20,76,68,58,1,61,4,3,0,,11,2,0.280291,0.118509,0.125794,0.942089,0.369907,0.491879,0.375422,0.861787,0.211588,5.26214,0.285533,0.177639,0.141652,80.0084,23.5983,141.199,0.31929,-2.29684,24.053150206804276,2.614274024963379,4.43709,13.65999984741211,,,,,,,711.1,6.349107142,711.1,6.349107142,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Shohei Ohtani","LAD",109,470,404,116,61,21,4,29,85,73,60,8,107,3,3,0,,25,6,0.28733,0.128021,0.228307,0.56074,0.381499,0.579281,0.406821,0.960781,0.291951,7.26547,0.321057,2.05431,1.50844,89.2577,34.6105,162.252,3.56275,0,38.304542541503906,-11.754166603088379,4.37252,1.5499999523162842,,,,,,,821.6,7.537614678,821.6,7.537614678,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",115,495,396,109,62,20,1,24,79,69,93,4,80,3,3,1,,6,2,0.273933,0.188415,0.16247,1.15969,0.41325,0.517033,0.404049,0.930283,0.2431,3.91264,0.285915,-1.92323,-0.860874,92.9635,35.3781,162.21,-2.7841,-2.31257,33.80102014541626,-8.126460552215576,4.36937,7.079999923706055,,,,,,,797.5,6.934782608,797.5,6.934782608,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Kyle Tucker","CHC",113,490,419,118,69,23,3,24,75,74,65,5,72,2,3,0,,18,4,0.281514,0.133226,0.145986,0.912592,0.378022,0.518114,0.386029,0.896136,0.236601,5.79175,0.28829,1.64338,1.04905,84.9818,27.9841,149.159,2.69243,-0.0148611,31.30707550048828,-5.846805545501411,4.32972,8.710000038146973,,,,,,,775.2,6.860176991,775.2,6.860176991,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Francisco Lindor","NYM",115,495,440,115,71,22,2,21,73,64,43,1,90,8,4,1,,17,4,0.262077,0.0877706,0.181967,0.482344,0.337172,0.46083,0.34886,0.798003,0.198753,5.69955,0.284217,1.11853,0.955884,71.2013,13.616,125.206,2.07441,2.69393,16.89742946624756,7.821703910827637,4.27055,14.149999618530273,,,,,,,650.7,5.658260869,650.7,5.658260869,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Julio Rodríguez","SEA",115,499,451,122,79,20,2,21,71,65,38,3,116,6,3,0,,21,5,0.270162,0.0761099,0.233502,0.325949,0.333881,0.462783,0.34671,0.796665,0.192621,5.95606,0.319714,1.66245,1.09899,70.8262,12.8542,130.999,2.76144,2.44226,20.34273386001587,3.9297616481781006,4.2317,13.710000038146973,,,,,,,656.9,5.712173913,656.9,5.712173913,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Gunnar Henderson","BAL",109,473,419,110,63,22,4,22,72,62,48,1,108,4,3,0,,12,3,0.262344,0.100769,0.228406,0.441185,0.340887,0.487794,0.359402,0.828681,0.22545,6.25615,0.302068,1.01451,0.365138,71.9539,16.9702,136.128,1.37965,-1.29144,20.813636302947998,3.593432068824768,4.1569,9.329999923706055,,,,,,,660.8,6.062385321,660.8,6.062385321,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"José Ramírez","CLE",113,489,437,120,70,27,2,22,68,73,47,9,58,2,4,0,,23,5,0.274447,0.0950192,0.119447,0.795489,0.344347,0.492336,0.356704,0.836683,0.21789,5.65576,0.272569,2.30845,1.72227,73.4003,16.508,132.858,4.03072,-0.00223984,22.31960105895996,1.3088712540920824,4.13303,4.900000095367432,,,,,,,708.2,6.267256637,708.2,6.267256637,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Corbin Carroll","ARI",112,485,424,112,64,21,7,19,81,59,48,1,98,8,3,2,,26,5,0.263364,0.0994309,0.202203,0.491738,0.347391,0.481415,0.36042,0.828806,0.218051,8.3988,0.299482,3.69382,2.29984,74.2138,17.8037,127.804,5.99366,1.82666,22.01088809967041,-3.0844517946243286,3.63643,7.889999866485596,,,,,,,686,6.125,686,6.125,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
