Name,Team,IP,botStf FA,botStf SI,botStf FC,botStf FS,botStf SL,botStf CU,botStf CH,botStf KC,botOvr,botStf,botCmd,botxRV100,botERA,NameASCII,PlayerId,MLBAMID
"Tucker Barnhart","TEX",2,20,,,,,,,,20,20,20,18.40706,31.6736,"Tucker Barnhart",10200,571466
"Will Wilson","CLE",2,,,,,20,20,20,,20,20,20,7.984859999999999,16.0403,"Will Wilson",25434,669717
"Miguel Rojas","LAD",3,20,,,,,,,,20,20,20,6.4825960465116275,13.786909069767441,"Miguel Rojas",7802,500743
"Jorge Mateo","BAL",1,20,,,,,,,,20,20,20,4.51081,10.82923,"Jorge Mateo",17273,622761
"Enrique Hernández","LAD",1,23.1915,,,,,,,,20,20,20,4.13694,10.26842,"Enrique Hernandez",10472,571771
"Javier Sanoja","MIA",4,20,,,,,,,,20,20,20,3.823461714285715,9.798203142857142,"Javier Sanoja",28253,691594
"Jacob Stallings","COL",2,,,,,,,20,,20,20,20,3.68683,9.59326,"Jacob Stallings",13723,607732
"Jhonny Pereda","ATH",2,20,,,,,,,,20,20,20,3.5228422641509436,9.347276415094338,"Jhonny Pereda",19802,640902
"Yilber Díaz","ARI",3,40.33784,,,,51.56829,,,,20,31.8455,20,3.23055,8.90884,"Yilber Diaz",29271,700270
"Alan Trejo","COL",1,32.92739,,,,,,29.050390000000004,,20,24.62709,20,3.19525,8.85589,"Alan Trejo",20056,676701
"Chayce McDermott","BAL",3,47.04284,,,,35.85408,46.32319,41.08474,,20,39.81791,20,2.59342,7.95314,"Chayce McDermott",29866,694646
"Triston McKenzie","CLE",3.2,61.4183429113924,,,,29.782756,42.23666076923077,,,20,52.32266463917526,20,2.457932268041237,7.749910927835052,"Triston McKenzie",18000,663474
"Sauryn Lao","SEA",1.2,34.28895,39.4694,,,30.628720000000005,,46.03165,,20,31.00984,22.76905,2.33564,7.56647,"Sauryn Lao",21922,666659
"Gary Sánchez","BAL",1,35.20259,,,,,,,,20,25.47821,20,2.24902,7.436540000000001,"Gary Sanchez",11442,596142
"Austin Hedges","CLE",1,30.27849,,,,,,,,20,27.026379999999996,20,2.1932,7.35281,"Austin Hedges",12976,595978
"Jake Eder","LAA",2.1,39.38670499999999,,,,46.097024285714284,,45.773151,,20,41.30948189189189,20,2.1873097297297295,7.343978108108108,"Jake Eder",27590,671109
"Evan Sisk","KCR",2.1,29.465986000000004,57.179942105263166,45.057584545454546,,62.235107142857146,,,,20,54.328514081632655,23.70338918367347,2.096244081632653,7.207378775510204,"Evan Sisk",24995,681895
"Miguel Castro","CHW",1.1,,44.84491,,,59.29145,,59.19472,,21.534589999999998,48.98062000000001,20.27453,1.94986,6.9878,"Miguel Castro",15684,612434
"Dedniel Núñez","NYM",3.2,47.81937121951219,53.13539666666667,,,72.50384717948717,,80,,23.40635238095238,62.37358690476191,21.87388904761905,1.8263417857142854,6.802525833333332,"Dedniel Nunez",23055,673380
"Ian Anderson","LAA",9.1,32.60601152380952,,,,,42.40216678571428,35.10255528571428,,23.88752093596059,30.20102704433497,33.43507497536946,1.794586551724138,6.754892857142857,"Ian Anderson",19951,666120
"Yosver Zulueta","CIN",2.1,,37.121261999999994,,,58.047093999999994,,46.49800333333334,,24.243924210526313,41.76719578947368,23.68980684210526,1.771065263157895,6.719607894736842,"Yosver Zulueta",27765,691172
"Michel Otañez","ATH",1.2,58.14585285714286,66.92404222222223,,,45.18454277777778,,,,24.89190634146341,53.067726585365854,20,1.7283070731707317,6.6554726829268285,"Michel Otanez",22533,671305
"Garrett McDaniels","LAA",9.2,,40.37940999999999,,,40.4022714117647,50.15228833333333,,,25.946827365269463,40.01870461077845,24.439023413173654,1.6586874251497004,6.551043413173653,"Garrett McDaniels",31751,680729
"Christian Koss","SFG",1,,,,,20,20,,,26.01352,20,26.38068,1.65429,6.54445,"Christian Koss",27653,683766
"Kendall Graveman","ARI",2,55.09152,39.41973,,,43.098195,,42.6499,,26.704916666666666,42.266012499999995,27.578459999999996,1.608665,6.4760125,"Kendall Graveman",15514,608665
"Jacob Barnes","TOR",5.2,39.796278148148154,,51.100864038461545,29.0607225,20.040551999999998,,,,27.052164086021506,42.30551537634409,20,1.5857447311827955,6.441630860215054,"Jacob Barnes",12323,606930
"Doug Nikhazy","CLE",3,42.28534,,,,35.48885,63.48259,40.03347,,27.43577,39.61777,32.85167,1.5604300000000002,6.403660000000001,"Doug Nikhazy",30142,680951
"José Suarez","ATL",4.1,59.90572552631579,,,,46.469879500000005,40.58942,49.22616428571429,,27.54354,55.43315625,22.016355,1.5533225000000002,6.3929937500000005,"Jose Suarez",19911,660761
"Victor Mederos","LAA",3,,52.0384,,,42.28663,,43.72982,,27.56222,47.65632,24.613579999999995,1.55209,6.3911500000000006,"Victor Mederos",31533,682989
"Xzavion Curry","MIA",1.2,35.90598571428571,,,25.25838,29.293658125,37.58641,,,28.058011794871792,29.00903641025641,33.16381358974359,1.5193633333333334,6.34205717948718,"Xzavion Curry",25595,675540
"Jake Bauers","MIL",2,20.381395,,,,,,,,28.077125000000002,20,45.408785,1.518105,6.3401700000000005,"Jake Bauers",15194,641343
"Angel Perdomo","ATH",3.1,48.44122124999999,,,,48.529117619047625,,38.98874,,28.53289263888889,45.69411416666667,28.255539861111114,1.4880294444444444,6.2950550000000005,"Angel Perdomo",17759,622780
"Tayler Saucedo","SEA",1.1,32.88437,61.31842400000001,,,52.620825714285715,,39.878589999999996,,29.435803999999997,53.9428292,37.730518,1.428444,6.2056759999999995,"Tayler Saucedo",17888,642048
"Touki Toussaint","LAA",2,30.22449,47.38691000000001,,39.18113,,48.86533000000001,,,29.61642,39.11014,36.28527,1.41652,6.18779,"Touki Toussaint",16929,657053
"Tommy Henry","ARI",2.2,43.50448,,,,22.49603,29.73842,40.34728,,29.86332,27.78691,33.83811,1.40023,6.16336,"Tommy Henry",26285,674072
"Drey Jameson","ARI",3,57.08365200000001,51.73135913043479,,,50.42600142857143,,45.96841666666666,,30.107633584905663,51.39546433962264,36.617618301886786,1.3841067924528303,6.139170188679245,"Drey Jameson",26260,686753
"Elvis Alvarado","ATH",2.2,61.617719117647056,57.77254,,,52.55801523809524,,52.0465,,30.164621500000003,58.149496500000005,25.6329965,1.380348,6.133532,"Elvis Alvarado",21662,665660
"Joey Estes","ATH",3,44.70181,,,,37.19568,,38.8629,,30.18478,39.11481,34.36185,1.37902,6.13154,"Joey Estes",26257,683155
"Brendon Little","TOR",17.2,,63.072983521126766,41.67190411764706,,,,,46.14336078431373,30.232536826923077,50.38343846153846,20,1.3758637820512818,6.1268085256410245,"Brendon Little",21574,663893
"Jesse Chavez","ATL",1,,29.128249999999998,47.16745,,,40.31309,42.66341,,31.00836,38.99277,32.1234,1.32467,6.050019999999999,"Jesse Chavez",5448,445926
"Adam Ottavino","NYY",1.2,45.058693999999996,57.32833666666667,58.10279333333333,,61.29469285714286,,,,31.304620238095236,55.75703595238095,29.46587119047619,1.3051157142857142,6.020688571428572,"Adam Ottavino",1247,493603
"Kenta Maeda","DET",6,32.864187083333334,49.573716363636365,50.99046,42.28005888888889,41.82714204081633,39.47444,,,31.48656211267606,44.070342676056335,29.199357676056337,1.2931076056338027,6.002674084507042,"Kenta Maeda",18498,628317
"Martín Pérez","CHW",14,27.939315,28.231714615384615,32.88617709302326,,,32.90421882352941,40.93142774193549,,32.593661858407074,33.627046371681416,42.81638362831859,1.22004814159292,5.893085398230089,"Martin Perez",6902,527048
"Yoendrys Gómez","- - -",15,51.23643124087591,47.07122499999999,,,60.74462471428572,49.93090788461538,37.358126923076924,,32.85680574394463,50.33324166089967,28.845297335640137,1.2026802422145328,5.867033633217994,"Yoendrys Gomez",22872,672782
