Name,Team,IP,Loc+ FA,Loc+ SI,Loc+ FC,Loc+ FS,Loc+ SL,Loc+ CU,Loc+ CH,Loc+ KC,Loc+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Griffin Jax","MIN",20,133.78030303030303,124.89599999999999,116.66909090909093,,132.47853333333333,-13.379999999999995,123.51411764705884,,,107.64577259475219,128.91206997084547,138.14822157434403,"Griffin Jax",20253,643377
"Aroldis Chapman","BOS",15,129.94765625,115.62387096774194,,135.7423076923077,87.05111111111108,,,,,111.01221071474235,123.61382837134738,131.40552197731944,"Aroldis Chapman",10233,547973
"José Alvarado","PHI",18,57.284000000000006,116.12789473684208,98.31891304347828,,,112.41857142857143,,,,116.48125223613597,109.46697163301816,130.55165857398418,"Jose Alvarado",17780,621237
"Tarik Skubal","DET",49,110.00724637681158,109.89281437125747,,,112.60617283950617,,121.52652542372878,54.19818181818183,,118.41561569947244,113.29377781146617,130.4687680334054,"Tarik Skubal",22267,669373
"Mason Montgomery","TBR",14.2,97.46569343065691,,,,106.3300934579439,,,,,131.46031544957776,101.3590474416294,130.4179955290611,"Mason Montgomery",29770,682254
"Michael McGreevy","STL",5.2,151.54,151.52,157.7,,101.13999999999999,101.3,47.300000000000004,,,96.31291139240506,130.98430379746833,129.5812658227848,"Michael McGreevy",29869,700241
"Jeremiah Estrada","SDP",16.1,103.35272727272726,,,125.73208333333334,140.71119999999996,,,,,116.79293701184177,114.9155530360292,129.04864121945073,"Jeremiah Estrada",22210,669093
"Emmanuel Clase","CLE",16.1,,75.17333333333333,103.21279999999997,,108.80337662337661,,,,,126.97391768121044,103.96580896199862,127.13447388106965,"Emmanuel Clase",21032,661403
"Jacob deGrom","TEX",46,120.56319749216303,,,,123.54381294964028,128.45161290322582,80.4893333333333,,,105.68011627906976,118.62819767441862,126.61424418604652,"Jacob deGrom",10954,594798
"Ryan Weathers","MIA",5,109.64,,,,108.66857142857143,,124.18,,,114.08575342465754,112.94575342465755,124.99479452054793,"Ryan Weathers",23796,677960
"Adrian Morejon","SDP",15.1,67.33454545454546,119.23073170731706,101.88959999999999,-28.22,113.95333333333333,,,,,116.09287991718426,111.54812422360249,124.97452587991717,"Adrian Morejon",20039,670970
"A.J. Puk","ARI",7,130.5567088607595,-70.27999999999997,,,86.7276595744681,,,,,117.8809375,111.32515624999999,124.80406250000001,"A.J. Puk",19343,640462
"Hunter Greene","CIN",40.2,114.4796703296703,,,96.22899999999998,86.58897196261682,,,,,125.47344635064603,103.41371136927589,124.38014127974363,"Hunter Greene",22182,668881
"Jonathan Bowlan","KCR",2,77.12,119.46000000000001,,,117.58,,,,,107.376,114.38000000000002,123.673,"Jonathan Bowlan",24607,680742
