Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",12,5,16,2.63943,23,23,0,0,,141,565,111,45,41,13,31,,5,167,10.6665,1.94698,5.47848,0.844484,0.295896,0.0540105,0.24188505113124847,0.21016,1.00458,0.280945,0.783616,,,2.72091,3.98403,4.17102,13.8100004196167,,,,,,,820.9,5.821985815602837,762,5.404255319148936,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",11,5,15,2.78319,22,22,0,0,,126,513,101,42,39,11,35,,5,150,10.7225,2.52508,4.24641,0.78683,0.29206,0.0687782,0.22328194975852966,0.213075,1.08124,0.287728,0.775391,,,2.82596,3.44758,3.9288,10.890000343322754,,,,,,,714.5000000000001,5.670634920634922,667,5.2936507936507935,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Zack Wheeler","PHI",11,6,15,3.13584,24,24,0,0,,146,595,119,56,51,18,37,,6,165,10.1392,2.25004,4.50624,1.09451,0.276602,0.0613821,0.21522028371691704,0.215383,1.06479,0.273465,0.764906,,,3.30516,3.36667,3.62246,21.649999618530273,,,,,,,750.6,5.141095890410959,697,4.773972602739726,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Logan Webb","SFG",10,7,14,3.32277,23,23,0,0,,143,596,138,58,53,11,32,,6,135,8.44345,2.00493,4.21135,0.709456,0.225634,0.0535776,0.17205610126256943,0.246541,1.18315,0.306261,0.72699,,,3.04339,3.09262,2.85728,98.33999633789062,,,,,,,720.1000000000001,5.035664335664337,728,5.090909090909091,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Chris Sale","ATL",10,6,13,3.26074,22,22,0,0,,130,533,110,52,47,15,35,,5,155,10.697,2.42294,4.41489,1.04237,0.290726,0.0658514,0.22487495094537735,0.222545,1.11007,0.293065,0.753599,,,3.16579,2.90422,2.96199,35.97999954223633,,,,,,,681.5,5.242307692307692,645,4.961538461538462,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Garrett Crochet","BOS",9,6,13,3.22776,22,22,0,0,,115,469,95,45,41,12,37,,5,141,11.0301,2.90787,3.79318,0.909633,0.299935,0.0790724,0.22086307406425476,0.221448,1.14701,0.301948,0.751157,,,3.06696,2.90026,2.82606,23.670000076293945,,,,,,,612.4,5.3252173913043475,575,5,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Yoshinobu Yamamoto","LAD",9,5,12,3.11834,20,20,0,0,,116,469,94,44,40,11,35,,5,129,10.0569,2.69525,3.73134,0.885242,0.275257,0.0737689,0.20148783177137375,0.219258,1.11482,0.286465,0.753633,,,3.17416,2.72265,2.79146,59.349998474121094,,,,,,,616.7000000000002,5.316379310344829,575,4.956896551724138,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Spencer Strider","ATL",9,5,12,3.04081,19,19,0,0,,108,441,83,40,37,13,33,,5,147,12.2377,2.76736,4.42217,1.07325,0.333665,0.0754529,0.2582123652100563,0.205838,1.07441,0.288257,0.777318,,,2.98629,2.67142,2.82188,101.01000213623047,,,,,,,603.5,5.587962962962963,551,5.101851851851852,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Max Fried","NYY",9,7,13,3.42596,22,22,0,0,,133,552,117,55,51,13,39,,6,126,8.53641,2.66359,3.20486,0.901699,0.228519,0.0713038,0.1572147011756897,0.230973,1.17656,0.28236,0.734148,,,3.52704,2.63133,2.52713,96.06999969482422,,,,,,,637.1000000000001,4.790225563909775,613,4.609022556390977,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Framber Valdez","HOU",9,6,13,3.4298,21,21,0,0,,132,552,118,55,50,12,43,,6,130,8.87691,2.91362,3.04669,0.795813,0.235742,0.0773765,0.15836553275585175,0.235075,1.22101,0.294962,0.733471,,,3.3853,2.61961,2.42451,61.900001525878906,,,,,,,635.4000000000001,4.813636363636364,617,4.674242424242424,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Hunter Greene","CIN",9,6,13,3.2712,21,21,0,0,,119,494,91,47,43,16,42,,5,152,11.4351,3.14303,3.63824,1.23627,0.306622,0.0842776,0.2223445400595665,0.202592,1.1091,0.265708,0.776749,,,3.53108,2.60374,3.0255,94.69999694824219,,,,,,,610.1999999999999,5.127731092436974,550,4.621848739495798,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Pablo López","MIN",9,7,12,3.64584,22,22,0,0,,130,541,120,57,53,16,32,,5,136,9.43241,2.21381,4.26072,1.11143,0.251587,0.059048,0.19253860041499138,0.239032,1.17324,0.296846,0.730536,,,3.47636,2.56439,2.10827,73.29000091552734,,,,,,,614.2,4.724615384615385,603,4.638461538461539,,,,,,,,,,,,,,,,,,,"Pablo Lopez","17085",641154
"Cole Ragans","KCR",9,6,12,3.46864,21,21,0,0,,121,510,104,51,47,13,45,,5,142,10.5792,3.33641,3.17082,0.961442,0.27853,0.0878416,0.19068844616413116,0.22519,1.22744,0.297323,0.748222,,,3.39268,2.55727,2.49128,45.599998474121094,,,,,,,599.1000000000001,4.951239669421489,570,4.710743801652892,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Hunter Brown","HOU",9,6,12,3.3363,21,21,0,0,,120,505,103,49,44,12,41,,5,136,10.1883,3.06016,3.32935,0.917516,0.268561,0.0806649,0.18789644539356232,0.225191,1.20276,0.292931,0.752688,,,3.32085,2.52053,2.31521,98.58000183105469,,,,,,,606.5999999999999,5.054999999999999,578,4.816666666666666,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"George Kirby","SEA",9,6,13,3.26817,21,21,0,0,,124,506,112,49,45,15,19,,5,121,8.78285,1.3954,6.29415,1.09782,0.238405,0.0378773,0.200528085231781,0.231716,1.05905,0.278947,0.745749,,,3.31756,2.50836,2.26275,100.83999633789062,,,,,,,611.8999999999999,4.934677419354838,595,4.798387096774194,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Cristopher Sánchez","PHI",9,6,12,3.45547,26,20,0,0,,120,502,110,50,46,11,34,,5,116,8.73312,2.54027,3.43787,0.860571,0.231312,0.0672835,0.16402844339609146,0.23792,1.20319,0.29425,0.733026,,,3.38249,2.45709,2.36973,144.05999755859375,,,,,,,581.7,4.8475,572,4.766666666666667,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Dylan Cease","SDP",10,7,14,3.53342,24,24,0,0,,134,556,109,57,52,16,51,,6,153,10.3341,3.4058,3.03425,1.07662,0.275955,0.0909467,0.18500861525535583,0.21872,1.19592,0.282564,0.745896,,,3.63603,2.39461,2.42215,47.27000045776367,,,,,,,646.4,4.823880597014925,597,4.455223880597015,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Logan Gilbert","SEA",8,5,12,3.13589,19,19,0,0,,114,462,95,43,40,14,25,,4,120,9.53695,1.95738,4.87231,1.07232,0.260688,0.053504,0.20718402415513992,0.219702,1.05424,0.272877,0.759129,,,3.30599,2.29398,2.32427,26.360000610351562,,,,,,,577.3999999999999,5.064912280701753,541,4.745614035087719,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Sandy Alcantara","MIA",9,7,12,3.76813,21,21,0,0,,135,561,125,62,56,14,40,,6,121,8.11652,2.67281,3.0367,0.94534,0.216539,0.0713073,0.14523174613714218,0.243626,1.229,0.293387,0.713259,,,3.68689,2.26633,2.30465,137.64999389648438,,,,,,,605.8,4.4874074074074075,597,4.4222222222222225,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"Aaron Nola","PHI",8,6,11,3.76434,20,20,0,0,,123,511,113,56,51,17,31,,5,124,9.07475,2.23405,4.06202,1.21154,0.242867,0.0597896,0.18307698518037796,0.237527,1.16579,0.287842,0.725404,,,3.70708,2.2384,2.07463,88.30000305175781,,,,,,,547.3,4.449593495934959,534,4.341463414634147,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Kevin Gausman","TOR",9,8,13,3.83395,24,24,0,0,,136,576,125,63,58,18,42,,6,142,9.36495,2.78613,3.36128,1.1624,0.246048,0.0732007,0.17284751683473587,0.236966,1.22814,0.291655,0.728393,,,3.76351,2.23506,1.75701,166.66000366210938,,,,,,,600.0000000000001,4.411764705882354,586,4.3088235294117645,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Clay Holmes","NYM",4,3,12,3.4228,26,19,0,1,,121,523,111,50,46,10,45,,6,122,9.09603,3.3392,2.72401,0.725866,0.234126,0.085949,0.14817741513252258,0.235099,1.28789,0.297734,0.742575,,,3.38521,2.2032,2.16163,205.64999389648438,,,,,,,578.8000000000001,4.783471074380166,570,4.710743801652892,,,,,,,,,,,,,,,,,,,"Clay Holmes","13649",605280
"Sonny Gray","STL",9,7,12,3.79584,22,22,0,0,,130,540,121,60,55,15,37,,5,127,8.77749,2.5227,3.4794,1.0482,0.235173,0.0675902,0.16758298128843307,0.242895,1.20944,0.297299,0.715592,,,3.63649,2.18181,1.93357,122.05000305175781,,,,,,,590.9,4.545384615384616,583,4.484615384615385,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Nathan Eovaldi","TEX",8,7,11,3.72884,21,21,0,0,,122,508,112,55,51,15,33,,5,118,8.68357,2.40742,3.607,1.08899,0.232355,0.0644179,0.16793733835220337,0.239161,1.18678,0.289449,0.721714,,,3.6767,2.17149,1.8331,203.2899932861328,,,,,,,549.1000000000001,4.500819672131149,537,4.401639344262295,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Jacob deGrom","TEX",8,5,11,3.23783,19,19,0,0,,97,386,77,38,35,12,25,,4,110,10.2454,2.28833,4.47723,1.14171,0.285164,0.0636921,0.22147193551063538,0.215317,1.05057,0.275146,0.75333,,,3.36104,2.12955,2.08064,49.810001373291016,,,,,,,503.00000000000006,5.185567010309279,462,4.762886597938144,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Jesús Luzardo","PHI",5,4,11,3.67376,27,20,0,0,,117,493,104,52,48,15,36,,5,129,9.88582,2.75845,3.58383,1.16856,0.261115,0.0728592,0.18825602531433105,0.230267,1.19471,0.288458,0.739311,,,3.64661,2.12232,1.98586,235.11000061035156,,,,,,,545.9000000000002,4.665811965811968,525,4.487179487179487,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Michael King","SDP",9,7,13,3.65354,23,23,0,0,,129,543,111,57,53,16,44,,6,138,9.63089,3.06414,3.1431,1.13315,0.255225,0.0812017,0.17402314394712448,0.225918,1.20086,0.281151,0.739295,,,3.75704,2.12071,2.10096,62.720001220703125,,,,,,,595.1999999999999,4.6139534883720925,563,4.364341085271318,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
"Freddy Peralta","MIL",9,6,13,3.46574,22,22,0,0,,125,521,100,53,48,17,44,,5,143,10.2947,3.15606,3.2619,1.216,0.27419,0.0840584,0.19013158231973648,0.211943,1.1512,0.266367,0.759432,,,3.76036,2.08334,2.46087,103.55999755859375,,,,,,,594.9,4.7592,543,4.344,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
"MacKenzie Gore","WSN",8,7,11,3.94551,22,22,0,0,,121,511,110,58,53,15,43,,5,133,9.90677,3.22075,3.07592,1.12041,0.260446,0.0846726,0.17577333003282547,0.23814,1.26848,0.302516,0.721684,,,3.73204,2.07197,1.67945,200.7899932861328,,,,,,,546.9000000000001,4.519834710743803,532,4.396694214876033,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Corbin Burnes","ARI",9,6,12,3.65999,21,21,0,0,,128,531,115,57,52,14,40,,5,123,8.68502,2.79945,3.10241,0.963856,0.23234,0.0748902,0.1574496552348137,0.237027,1.2117,0.290926,0.722884,,,3.63064,2.05025,2.32605,37.04999923706055,,,,,,,587,4.5859375,569,4.4453125,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Tyler Glasnow","LAD",7,4,10,3.23064,16,16,0,0,,93,378,74,37,33,11,30,,4,110,10.6046,2.92119,3.63023,1.02109,0.290689,0.0800745,0.2106141671538353,0.21373,1.11252,0.281637,0.755446,,,3.32632,2.03941,2.03833,91.72000122070312,,,,,,,478.5000000000001,5.145161290322582,440,4.731182795698925,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Spencer Schwellenbach","ATL",9,7,12,3.69636,22,22,0,0,,126,522,115,57,52,15,33,,5,118,8.44472,2.32273,3.63569,1.07866,0.227078,0.062458,0.16461974009871483,0.238526,1.17243,0.286287,0.720509,,,3.68523,2.00653,2.15196,78.30000305175781,,,,,,,570.9000000000001,4.530952380952382,557,4.420634920634921,,,,,,,,,,,,,,,,,,,"Spencer Schwellenbach","31846",680885
"Joe Ryan","MIN",8,6,11,3.62902,20,20,0,0,,113,464,98,50,46,17,25,,4,124,9.81968,1.97902,4.96188,1.38744,0.266467,0.0537029,0.21276430785655975,0.22581,1.08601,0.274849,0.741913,,,3.70648,2.00255,1.78208,93.91999816894531,,,,,,,533.3,4.719469026548672,505,4.469026548672566,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Jack Flaherty","DET",8,7,11,3.78497,21,21,0,0,,117,493,107,54,49,14,38,,5,125,9.66094,2.91987,3.30869,1.09053,0.253632,0.0766564,0.1769760176539421,0.237312,1.24145,0.298117,0.729714,,,3.64004,1.96918,1.52968,138.3800048828125,,,,,,,536.4000000000001,4.584615384615385,524,4.478632478632479,,,,,,,,,,,,,,,,,,,"Jack Flaherty","17479",656427
"Mitch Keller","PIT",8,7,11,4.09616,22,22,0,0,,130,554,130,64,59,16,37,,6,118,8.2072,2.5973,3.1599,1.10004,0.213158,0.0674571,0.14570047706365585,0.253541,1.28924,0.301598,0.708457,,,3.86684,1.96255,1.78969,298.9200134277344,,,,,,,534.2,4.10923076923077,549,4.223076923076923,,,,,,,,,,,,,,,,,,,"Mitch Keller","17594",656605
"Zac Gallen","ARI",9,7,12,3.87803,22,22,0,0,,126,533,119,59,54,15,39,,5,127,9.01986,2.795,3.22714,1.06475,0.237483,0.0735892,0.16389340162277222,0.243432,1.25179,0.299683,0.719193,,,3.70199,1.9412,1.98274,119.88999938964844,,,,,,,560.5000000000001,4.4484126984126995,557,4.420634920634921,,,,,,,,,,,,,,,,,,,"Zac Gallen","19291",668678
"Yusei Kikuchi","LAA",8,8,11,4.07459,23,23,0,0,,125,529,115,62,56,18,42,,6,131,9.47852,3.02535,3.13303,1.26587,0.248169,0.0792105,0.16895875334739685,0.238506,1.25762,0.292476,0.719462,,,3.97045,1.93915,1.42533,170.38999938964844,,,,,,,522.6,4.1808000000000005,509,4.072,,,,,,,,,,,,,,,,,,,"Yusei Kikuchi","20633",579328
