Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",116,500,414,127,65,21,1,41,87,105,79,6,123,4,3,0,,8,2,0.30697,0.157861,0.246158,0.641299,0.420396,0.656923,0.453429,1.07732,0.349953,3.8529,0.341292,0.0353006,-0.319981,113.396,55.3184,199.309,-0.284681,-2.02753,56.14183667302132,-8.473825931549072,6.65466,3.119999885559082,,,,,,,1007.8,8.687931034,1007.8,8.687931034,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",114,491,444,134,78,29,5,22,76,73,37,3,83,5,5,0,,27,8,0.301437,0.074312,0.168675,0.440562,0.357505,0.538861,0.383738,0.896366,0.237424,7.00621,0.324742,0.654344,1.36448,84.2282,27.1351,146.069,2.01883,2.89864,27.751216173171997,8.161607503890991,5.40958,1.6299999952316284,,,,,,,780.7,6.848245614,780.7,6.848245614,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Julio Rodríguez","SEA",115,499,449,127,81,22,2,22,68,71,40,3,115,7,3,0,,23,5,0.28329,0.0793575,0.230579,0.344167,0.348225,0.490009,0.363063,0.838234,0.206719,5.84656,0.333174,0.461322,1.67034,77.3176,19.3456,142.444,2.13166,3.7439,26.204339742660522,5.231403827667236,4.97261,13.710000038146973,,,,,,,714.9,6.216521739,714.9,6.216521739,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Shohei Ohtani","LAD",109,470,404,119,58,22,4,35,90,99,60,4,112,3,3,0,,23,7,0.293938,0.127214,0.239026,0.532218,0.386922,0.62638,0.427857,1.0133,0.332442,6.84682,0.323225,0.142149,0.688517,97.1292,42.4819,176.357,0.830666,0,43.44391644001007,-11.754166603088379,4.90409,1.5499999523162842,,,,,,,891.1,8.175229357,891.1,8.175229357,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",115,495,396,111,64,20,2,25,81,76,93,4,77,2,4,0,,7,3,0.280262,0.18765,0.155437,1.20724,0.416398,0.527262,0.408513,0.94366,0.246999,3.98035,0.289272,-0.578045,-1.09192,94.7239,37.1385,165.204,-1.66996,-2.84275,36.67556715011597,-8.656638145446777,4.61186,7.079999923706055,,,,,,,819.9,7.129565217,819.9,7.129565217,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Fernando Tatis Jr.","SDP",113,488,438,123,71,23,1,27,64,77,42,3,105,4,3,0,,19,4,0.279538,0.0869406,0.21478,0.404789,0.346521,0.523906,0.37413,0.870428,0.244368,5.12722,0.30814,0.476972,1.23789,80.026,23.2493,142.313,1.71486,3.60934,26.248871684074402,-1.7713685035705566,4.2215,11.619999885559082,,,,,,,739.9,6.54778761,739.9,6.54778761,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Cal Raleigh","SEA",107,429,378,89,46,18,1,24,55,69,44,2,115,3,3,0,,4,2,0.235213,0.102551,0.268855,0.381435,0.31794,0.47622,0.343562,0.79416,0.241007,3.44017,0.268853,-0.397044,-0.586512,59.8214,9.97745,128.795,-0.983555,4.2223,13.058217346668243,9.621370315551758,4.183,85.55000305175781,,,,,,,546.9,5.111214953,546.9,5.111214953,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Gunnar Henderson","BAL",109,473,416,111,63,23,5,20,75,69,49,2,116,3,4,0,,12,3,0.267689,0.103829,0.245428,0.423051,0.346859,0.492849,0.362748,0.839708,0.22516,6.63593,0.320658,0.522861,0.469929,73.2135,18.2297,138.469,0.992791,-2.08589,21.686327576637268,2.7989869117736816,4.165,9.329999923706055,,,,,,,659.2,6.047706422,659.2,6.047706422,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Vladimir Guerrero Jr.","TOR",114,495,433,133,81,27,1,24,70,79,53,4,71,5,4,0,,5,2,0.306992,0.107952,0.143079,0.754494,0.385813,0.541591,0.399111,0.927404,0.234598,3.13226,0.317525,-0.730604,-0.778947,90.8576,33.3728,162.645,-1.50955,-1.59182,33.72148251533508,-10.16867184638977,4.1428,13.180000305175781,,,,,,,799.3,7.011403508,799.3,7.011403508,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Austin Riley","ATL",113,490,441,125,72,25,1,27,73,88,38,3,122,7,4,0,,2,1,0.283001,0.0768193,0.248813,0.308743,0.346459,0.528864,0.375778,0.875323,0.245863,3.41238,0.3304,0.0250405,-0.834903,80.9807,23.983,138.543,-0.809862,-1.88935,21.625511169433594,-0.13795709609985352,3.91882,29.6200008392334,,,,,,,727,6.433628318,727,6.433628318,,,,,,,,,,,,,,,,,,,"Austin Riley","18360",663586
