"Name","Team","Season","PA","BBE","Damage/BBE (%)","90th Pctile EV","Max EV","Pulled FB (%)","SEAGER","Selectivity (%)","Hittable Pitch Take (%)","Chase (%)","Z-Contact (%)","Whiff vs. Secondaries (%)","Contact Over Expected (%)"
"Christian Vazquez","MIN","2025","71","50","6","100.2","104.2","10","13.2","51.5","38.3","29","91.4","13.7","0.6"
"Chase Meidroth","CWS","2025","84","59","5.1","100.2","107.1","5.1","12.7","58.3","45.6","24.4","90.5","25","4.3"
"Jorbit Vivas","NYY","2025","32","19","0","100.2","101","0","6.8","45.1","38.3","33.3","74.3","32","-13.9"
"Jordan Lawlar","ARI","2025","5","2","50","100.3","103.3","50","0.7","46.2","45.5","33.3","60","37.5","-19.2"
"Nico Hoerner","CHC","2025","176","148","7.4","100.3","104.7","6.1","6.8","47.8","41","36.1","96.4","13.2","10.5"
"Hayden Senger","NYM","2025","29","19","5.3","100.4","103.4","0","-2.8","44.1","46.9","40.7","77.8","42.9","-11.5"
"Stuart Fairchild","ATL","2025","31","20","10","100.6","103.3","15","3.7","41","37.3","32.8","86.1","36","-12.1"
"Keibert Ruiz","WSH","2025","159","132","6.1","100.6","107.8","5.3","5.2","44.8","39.6","36.6","92.3","22.9","10.2"
"Luis Campusano","SD","2025","10","5","20","100.7","101.4","20","25.3","70","44.7","18.9","83.3","20","-1.9"
"Miguel Amaya","CHC","2025","85","63","17.5","100.7","105.8","17.5","5.6","43","37.4","42.6","85.7","37.4","-1.7"
"Jose Altuve","HOU","2025","181","136","14","100.7","107","12.5","3.5","47.4","43.9","40.5","86.5","25.9","2.9"
"Josh Rojas","CWS","2025","36","20","10","100.7","102","5","-3.4","46.6","50","24","87.2","25","-5"
"Victor Scott","STL","2025","155","103","8.7","100.7","106.6","3.9","17.2","50.6","33.4","32.3","80.6","33.7","-9.8"
"Miguel Rojas","LAD","2025","67","56","3.6","100.7","103.3","3.6","6.5","45.5","39","34.7","91.8","28.6","1"
"Leody Taveras","SEA","2025","31","17","0","100.7","106.7","11.8","10.3","49.4","39.1","41","90.6","50","-4.9"
"Mark Canha","KC","2025","56","40","17.5","100.8","104.6","7.5","2.6","45.9","43.3","31.5","82.4","38.8","-2"
"Henry Davis","PIT","2025","42","31","16.1","100.8","105.6","22.6","8.6","46.4","37.8","36","96.1","26.8","2"
"Mookie Betts","LAD","2025","186","145","12.4","100.8","107.2","11","19.5","58.8","39.3","25.6","96.1","27.5","3.8"
"Isiah Kiner-Falefa","PIT","2025","125","93","4.3","100.8","105.5","4.3","11.4","50.8","39.4","33.1","93","19.7","7.1"
"Will Wagner","TOR","2025","68","45","2.2","100.8","104.9","6.7","4.1","43.7","39.6","29.9","90.1","28.8","-2.6"
"Tirso Ornelas","SD","2025","16","12","16.7","100.9","107.4","8.3","-5.8","48.5","54.3","32.4","93.8","23.1","9.7"
"Luke Keaschall","MIN","2025","26","17","11.8","100.9","104.2","5.9","29.8","57.1","27.3","20.4","96.6","21.4","6.2"
"Bryson Stott","PHI","2025","169","120","9.2","100.9","110.7","10","3.6","51.6","48","25","84.4","17.7","3.4"
"Rafael Marchan","PHI","2025","31","21","4.8","100.9","104.4","14.3","15.2","55.7","40.5","21.1","89.7","30.8","2"
"Donovan Solano","SEA","2025","62","44","2.3","100.9","103.7","6.8","-2.5","43.3","45.8","50.7","76.8","36.5","-8.9"
"Jeimer Candelario","CIN","2025","92","53","20.8","101","107.5","11.3","7.2","46.4","39.2","32.6","81.9","42.1","-9.4"
"Bobby Dalbec","CWS","2025","21","12","16.7","101","107.1","8.3","5.9","51.9","46","26.5","70.8","38.9","-9.6"
"Dustin Harris","TEX","2025","38","24","16.7","101","106.4","4.2","12.5","47.6","35.1","35.8","97.9","30.4","4.4"
"Michael Massey","KC","2025","155","125","12","101","108","16.8","3.3","43.7","40.4","40.3","86.2","19.3","5"
"Tyler Fitzgerald","SF","2025","94","65","7.7","101","107","12.3","9.4","44.5","35.1","36.7","85.5","34.6","-7.2"
"Nick Gonzales","PIT","2025","3","1","0","101","101","100","8.3","33.3","25","20","33.3","83.3","-53.7"
"Tyler Heineman","TOR","2025","45","36","13.9","101.1","104.5","13.9","-20.6","32.1","52.7","46.9","88.9","36.4","-0.8"
"Travis Jankowski","TB","2025","34","23","8.7","101.1","105.6","0","-8.4","43","51.4","25","90.9","40","-0.3"
"Yohel Pozo","STL","2025","44","41","7.3","101.1","104.9","4.9","19.1","41.9","22.8","51.5","92.3","15","10.9"
"Jose Azocar","NYM","2025","20","18","11.1","101.2","109.4","0","-0.2","42.2","42.4","32.4","100","5.3","13.1"
"Nolan Arenado","STL","2025","175","140","10","101.2","107.9","14.3","16.6","51.7","35.1","33.1","90","28.1","4.5"
"Nick Solak","PIT","2025","3","2","0","101.2","104.7","0","6.7","40","33.3","66.7","100","66.7","-8.7"
"LaMonte Wade","SF","2025","134","88","20.5","101.3","107.6","12.5","6.7","51.3","44.6","22.9","90.1","29.8","-3.8"
"Gavin Lux","CIN","2025","167","108","13.9","101.3","106.4","6.5","13.1","51.7","38.6","27.7","85.2","28.2","-3.8"
"Nolan Schanuel","LAA","2025","161","120","12.5","101.3","109.8","4.2","11.5","51.7","40.2","27.3","95.3","19.9","6.8"
"Hyeseong Kim","LAD","2025","33","26","11.5","101.3","105.2","7.7","7.5","48.1","40.6","37","90.6","35.9","-7.3"
"Owen Miller","COL","2025","18","10","10","101.3","106.7","10","16.1","55","38.9","39.5","86.7","0","7.9"
"Adael Amador","COL","2025","69","43","9.3","101.3","103.5","16.3","2.2","45.6","43.4","35.8","86.6","27.4","-2.1"
"Seth Brown","OAK","2025","53","30","16.7","101.4","111.3","10","14.6","47.9","33.3","31.6","76.7","53.7","-13.4"
