"Name","Team","Season","PA","BBE","Damage/BBE (%)","90th Pctile EV","Max EV","Pulled FB (%)","SEAGER","Selectivity (%)","Hittable Pitch Take (%)","Chase (%)","Z-Contact (%)","Whiff vs. Secondaries (%)","Contact Over Expected (%)"
"Kerry Carpenter","DET","2025","160","123","27.6","104.5","109.2","18.7","8.9","41.2","32.3","41.9","84.9","24","0.2"
"Alek Thomas","ARI","2025","126","91","26.4","104.5","109.4","3.3","6.4","45.4","39","37.1","87.9","28.9","-5.8"
"Ceddanne Rafaela","BOS","2025","153","113","23.9","104.5","109.1","4.4","7.9","40","32.1","46.4","80","31.6","-6.2"
"Joshua Palacios","CWS","2025","84","51","23.5","104.5","110.3","5.9","7.9","44.4","36.5","28.7","76.6","34.6","-10.7"
"Mickey Moniak","COL","2025","128","92","22.8","104.5","110.3","6.5","1.5","43.8","42.3","39.1","83.2","33","-5.8"
"Enmanuel Valdez","PIT","2025","101","74","20.3","104.5","108.5","8.1","5.2","49.2","44","32.1","90.1","25.3","-1.9"
"Christian Koss","SF","2025","64","42","16.7","104.5","107.4","4.8","12.9","45.3","32.4","38.8","70.9","43.1","-10.6"
"Kameron Misner","TB","2025","132","83","14.5","104.5","109.7","7.2","15.4","52.2","36.8","33.5","82.3","40.4","-8.6"
"Harrison Bader","MIN","2025","125","82","13.4","104.5","109.8","9.8","17.9","57.2","39.3","32.8","84.2","36.4","-2.8"
"Orlando Arcia","ATL","2025","32","24","12.5","104.5","106.4","4.2","-9.2","35.9","45.1","44.3","97.2","13.6","0.9"
"Kyle Manzardo","CLE","2025","157","98","30.6","104.6","107.8","18.4","10.3","49.4","39.1","28.8","78","28.4","-5.3"
"Yainer Diaz","HOU","2025","154","123","22","104.6","109.7","12.2","15.6","44.5","28.9","48.7","89.4","26.8","2.5"
"Vinnie Pasquantino","KC","2025","190","142","18.3","104.6","111.5","16.2","8.2","47","38.8","35.3","89.7","28.7","2.6"
"Trea Turner","PHI","2025","190","138","15.2","104.6","109.5","7.2","13.8","49.2","35.4","30.7","86.8","29.8","-2.2"
"Luisangel Acuna","NYM","2025","121","86","11.6","104.6","110.3","1.2","14.9","51.1","36.2","38","91.5","32.7","3.1"
"Austin Slater","CWS","2025","21","15","46.7","104.7","109.3","6.7","-1.5","44.7","46.2","31.6","81","35","-9.6"
"Jesse Winker","NYM","2025","78","49","32.7","104.7","109.3","12.2","1.6","45","43.4","22.4","85.7","25.4","-5.5"
"CJ Abrams","WSH","2025","146","104","25","104.7","112.7","17.3","14.6","51.2","36.6","34.6","84.4","32.8","1.1"
"Alec Burleson","STL","2025","125","99","24.2","104.7","110.4","6.1","-0.3","42.5","42.8","40.4","85.7","19","5.3"
"Ryan Jeffers","MIN","2025","132","91","24.2","104.7","110.4","5.5","19.7","58.4","38.7","25.2","88.5","28.7","1.4"
"Colton Cowser","BAL","2025","18","10","20","104.7","110.6","0","21.9","61.5","39.6","24.1","78.9","57.9","-15.6"
"Oswald Peraza","NYY","2025","62","39","15.4","104.7","109.2","15.4","3","41.1","38.1","36.3","84.5","33.9","-16.4"
"Coco Montes","TB","2025","10","7","14.3","104.7","105.2","0","-12.5","50","62.5","50","100","33.3","11.1"
"Oscar Gonzalez","SD","2025","61","46","13","104.7","110.9","4.3","13.8","38.8","25","55.4","80.6","28.8","-0.2"
"Heston Kjerstad","BAL","2025","110","71","32.4","104.8","106.8","9.9","16.5","46","29.5","40.5","82","38.5","-5.9"
"Edouard Julien","MIN","2025","104","63","25.4","104.8","110.1","3.2","13.8","52.1","38.3","26","86.8","34.2","-5"
"Yoan Moncada","LAA","2025","69","40","25","104.8","111.9","20","19.8","55.2","35.4","24.8","81.9","44.8","-7.6"
"Dillon Dingler","DET","2025","127","86","24.4","104.8","110.7","9.3","10.6","47.6","37","37.5","87.4","31.8","-3.8"
"Francisco Lindor","NYM","2025","204","149","23.5","104.8","109.7","10.7","6.8","48","41.2","32.5","87","23.4","1.7"
"Ke'Bryan Hayes","PIT","2025","168","125","21.6","104.8","109.7","2.4","18.2","54.6","36.4","32.6","89.5","29.5","0.7"
"Tommy Edman","LAD","2025","122","96","19.8","104.8","108.6","16.7","-0.2","44.5","44.7","37","92.6","20","1.2"
"Trey Sweeney","DET","2025","158","109","11.9","104.8","110.8","7.3","12.9","45.7","32.8","35.4","81.3","22.1","-3.1"
"Miguel Andujar","OAK","2025","129","108","10.2","104.8","111.4","6.5","15.5","47.7","32.2","34.6","90.8","23.7","5.4"
"Triston Casas","BOS","2025","111","72","25","104.9","110.9","12.5","16.1","48.1","32","26.9","77.4","41.4","-11.2"
"Jeremy Pena","HOU","2025","187","148","21.6","104.9","108.6","6.8","10.5","48.3","37.8","35.8","88.1","32.8","0.5"
"Hunter Renfroe","KC","2025","99","72","20.8","104.9","110.5","9.7","12.1","53","40.9","28.3","86","29.5","0.1"
