"Name","Team","Season","PA","BBE","Damage/BBE (%)","90th Pctile EV","Max EV","Pulled FB (%)","SEAGER","Selectivity (%)","Hittable Pitch Take (%)","Chase (%)","Z-Contact (%)","Whiff vs. Secondaries (%)","Contact Over Expected (%)"
"Eddie Rosario","ATL","2025","4","2","0","65.8","66.7","0","5","30","25","50","42.9","66.7","-38.9"
"Mason McCoy","SD","2025","5","2","0","70.2","71.6","0","-29.2","37.5","66.7","58.3","50","75","-17.6"
"Dairon Blanco","KC","2025","1","1","0","72.9","72.9","0","-16.7","33.3","50","33.3","0","66.7","-37.1"
"Jonathan Ornelas","TEX","2025","6","2","0","75.3","79.7","0","24.5","46.7","22.2","42.9","83.3","50","-10.1"
"Niko Kavadas","LAA","2025","1","1","0","84.9","84.9","0","33.4","66.7","33.3","33.3","100","0","13.3"
"Davis Schneider","TOR","2025","21","7","0","85.7","89.1","0","32.4","67.2","34.8","18.6","82.4","28.6","-13.6"
"Dominic Canzone","SEA","2025","3","1","0","88","88","0","35","60","25","75","0","60","-19.9"
"Nicky Lopez","LAA","2025","6","5","0","89.3","96.9","0","-4.2","33.3","37.5","25","75","33.3","-2.6"
"Ryne Nelson","ARI","2025","1","1","0","89.8","89.8","0","33.4","66.7","33.3","33.3","","","19.9"
"Luke Williams","ATL","2025","1","1","0","91.4","91.4","0","0","50","50","0","100","0","9.2"
"Johnathan Rodriguez","CLE","2025","5","2","0","93.2","95.5","0","35","60","25","41.7","75","83.3","-34.2"
"Rob Brantly","MIA","2025","7","6","16.7","93.8","95.1","0","-35.7","14.3","50","60","66.7","71.4","-19.4"
"Gage Workman","CWS","2025","2","1","0","94","94","0","-46.7","20","66.7","60","33.3","80","-46.5"
"Nick Ahmed","TEX","2025","10","6","16.7","94.4","97.6","0","-35.2","26.3","61.5","46.7","45.5","40","-28.9"
"Blaine Crim","TEX","2025","13","5","0","94.6","97.8","0","41.1","59","17.9","30.6","63.6","66.7","-19.9"
"Manuel Margot","DET","2025","20","15","6.7","94.7","102.8","0","-20.7","30.8","51.5","41.7","76.9","18.8","-6.4"
"Dylan Carlson","BAL","2025","17","8","0","94.7","98.3","12.5","1","45.7","44.7","24.3","73.9","41.7","-10.6"
"Jonny DeLuca","TB","2025","25","19","5.3","95.2","103.6","10.5","-11","39","50","44.2","80.8","32","0.8"
"Samad Taylor","SEA","2025","9","8","12.5","95.3","100.6","12.5","31","42.1","11.1","53.8","100","25","-4"
"Tyler Wade","SD","2025","68","39","0","95.5","100.3","7.7","-1.1","48","49.1","30.1","84.1","43.6","-4"
"Mike Tauchman","CWS","2025","12","8","0","95.6","97.1","0","2.6","48.8","46.2","30.8","82.4","20","3.7"
"Connor Joe","SD","2025","10","3","0","95.7","96","0","-17.5","45.5","63","25","90.9","33.3","-4.5"
"Omar Narvaez","CWS","2025","10","7","0","95.8","97.7","28.6","20.8","50","29.2","25","92.3","0","-0.2"
"Jacob Hurtubise","CIN","2025","16","6","0","95.8","97.8","0","18.9","52.2","33.3","25","88.2","28.6","-7.4"
"Brett Wisely","SF","2025","12","9","0","95.9","97.3","22.2","-17.1","29.6","46.7","50","81.2","14.3","-8"
"Cal Stevenson","PHI","2025","8","6","0","96","97.9","0","5.9","44.4","38.5","44.4","100","0","0.3"
"Chandler Simpson","TB","2025","95","78","0","96","107.6","5.1","-8.9","39.4","48.3","39","92.2","28.8","6.8"
"Luis Arraez","SD","2025","164","152","0.7","96.3","107.8","8.6","0","44.2","44.2","38","97.6","4.8","16.9"
"Garrett Hampson","ARI","2025","41","22","0","96.3","97.6","9.1","22.7","57.5","34.8","25.7","82.5","25","-2.1"
"Ezequiel Duran","TEX","2025","27","18","16.7","96.5","104.6","0","9.5","40.3","30.8","50","89.3","38.9","-6.7"
"Jake McCarthy","ARI","2025","47","36","5.6","96.5","103.8","11.1","9.7","50.9","41.2","32","91.1","29.4","2.5"
"Adam Frazier","PIT","2025","135","100","4","96.5","101.1","10","0.3","43.3","43","34.5","89.5","19.7","2.3"
"Chris Taylor","LAD","2025","35","22","18.2","96.7","104.3","13.6","6.4","42.3","35.9","31.9","73.6","35","-19.1"
"Leo Rivas","SEA","2025","55","34","2.9","96.7","100.6","8.8","14.8","56.9","42.1","19.3","83.9","33.3","-6.3"
"Jurickson Profar","ATL","2025","17","12","0","96.8","99.3","8.3","-10.3","37.3","47.6","46.4","90.9","9.5","13.5"
"Tucker Barnhart","TEX","2025","11","7","0","97","100.2","0","5.5","46.4","40.9","20","100","0","14.2"
"Jose Herrera","ARI","2025","57","36","2.8","97.2","100.8","11.1","7.7","54","46.3","20.9","88.3","31.7","-1.3"
