Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",9.99323,6.71259,9.16185,2.86984,24,24,0,0,,134.976,533.12,104.123,46.33,43.04,13.3443,29.1877,0.298667,4.25296,166.06,11.0726,1.94619,5.6894,0.889781,0.311487,0.0547487,0.256738543510437,0.20838,0.987663,0.28344,0.758805,,,2.67547,4.34775,3.85245,13.8100004196167,,,,,,,801.6999999999999,5.938518518518518,739,5.474074074074074,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Logan Webb","SFG",10.8425,6.88942,12.1016,3.42982,24,24,0,0,,150.384,616.65,144.268,61.71,57.31,10.5964,32.8094,0.578617,4.57388,131.609,7.87639,1.96353,4.01133,0.634158,0.213426,0.0532058,0.16022027656435966,0.249052,1.1775,0.305841,0.711079,,,3.01901,3.80719,3.03481,98.33999633789062,,,,,,,750.3000000000001,5.002000000000001,757,5.046666666666667,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Zack Wheeler","PHI",10.6853,6.77384,11.5092,3.4899,24,24,0,0,,146.712,597.7,122.121,60.99,56.89,17.7036,40.174,0.290076,5.83138,163.215,10.0124,2.46446,4.0627,1.08602,0.273071,0.0672143,0.20585715770721436,0.221356,1.10622,0.281619,0.73671,,,3.39201,3.50338,2.94626,21.649999618530273,,,,,,,737.1999999999998,5.014965986394556,689,4.687074829931973,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Paul Skenes","PIT",9.58765,6.42227,10.4255,3.32005,22,22,0,0,,134.266,550,114.183,53.09,49.53,11.8896,39.6584,0.295023,5.24558,144.257,9.66968,2.65834,3.63748,0.796973,0.262285,0.0721061,0.19017848372459412,0.226062,1.1458,0.293147,0.734362,,,3.11325,3.47161,2.97904,10.890000343322754,,,,,,,700.5999999999999,5.228358208955223,667,4.977611940298507,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Chris Sale","ATL",10.4326,5.64235,10.7868,3.62979,22,22,0,0,,135.454,559.41,116.025,58.72,54.63,14.7372,39.1122,0.292538,7.22879,166.584,11.0684,2.59874,4.25913,0.979189,0.297785,0.0699168,0.22786791622638702,0.226139,1.14531,0.305315,0.716829,,,3.08865,3.46736,2.37669,35.97999954223633,,,,,,,708.9,5.251111111111111,676,5.007407407407407,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Cole Ragans","KCR",10.0147,5.96184,10.4638,3.4897,22,22,0,0,,133.98,555.35,108.226,55.6,51.95,14.1655,50.4918,0.348069,4.21866,165.068,11.0883,3.39175,3.2692,0.951553,0.297232,0.0909189,0.20631278306245804,0.216175,1.18463,0.292652,0.742462,,,3.24301,3.35363,2.64148,45.599998474121094,,,,,,,706.5999999999999,5.273134328358208,656,4.895522388059701,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Garrett Crochet","BOS",9.92967,6.05809,10.6774,3.67988,22,22,0,0,,134.662,557.66,114.744,59.39,55.06,16.2462,44.7142,0.364296,4.24823,162.154,10.8374,2.98843,3.62645,1.0858,0.290776,0.0801818,0.21059388667345047,0.225564,1.18414,0.298209,0.731955,,,3.35841,3.0324,2.37669,23.670000076293945,,,,,,,680.2,5.038518518518519,644,4.770370370370371,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Spencer Strider","ATL",8.80279,4.88169,8.87859,3.63011,19,19,0,0,,114.418,471.1,94.3627,49.49,46.15,13.7633,36.2283,0.340632,4.25018,147.339,11.5896,2.84968,4.06697,1.0826,0.312756,0.0769015,0.23585423082113266,0.219132,1.14135,0.299049,0.728524,,,3.1572,2.91273,2.0966,101.01000213623047,,,,,,,600.9999999999999,5.271929824561402,562,4.9298245614035086,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Yoshinobu Yamamoto","LAD",9.402,4.78571,8.82229,3.55988,20,20,0,0,,117.56,483.97,104.909,50.08,46.5,11.6353,32.9195,0.234225,3.932,123.27,9.43715,2.52021,3.74459,0.890761,0.254706,0.0680198,0.1866864711046219,0.234633,1.17241,0.298749,0.721977,,,3.23748,2.79607,2.24894,59.349998474121094,,,,,,,587.6,4.979661016949152,569,4.822033898305085,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Dylan Cease","SDP",9.32985,7.62207,10.6782,3.86971,24,24,0,0,,140.592,587.51,116.638,64.72,60.45,17.7211,53.9907,0.537848,4.92167,161.845,10.3605,3.45622,2.99765,1.13442,0.275476,0.0918975,0.18357878178358078,0.220656,1.21365,0.283405,0.726302,,,3.70092,2.77584,2.11716,47.27000045776367,,,,,,,664.8000000000002,4.714893617021278,618,4.382978723404255,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
