Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",117,498.336,408.694,125.22,60.0077,22.1377,0.490046,42.5846,90.9964,102.474,80.601,9.03761,118.185,4.61912,3.77595,0.368702,7.44674,5.0796,1.8627,0.30639,0.16174,0.237159,0.681991,0.422834,0.675545,0.458282,1.09838,0.369155,3.23985,0.328308,,-0.780754,115.016,57.0946,202.705,-0.780754,-4.18,57.41891151666641,-10.70210886001587,6.55164,3.119999885559082,,,,,,,1020.9,8.725641025,1020.9,8.725641025,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",115,483.105,436.814,132.657,76.9418,27.1718,5.4536,23.0902,82.7939,73.6809,36.6448,4.15266,78.3748,4.72449,4.28487,0.636579,4.60203,32.4846,7.0164,0.303693,0.0758526,0.162231,0.467558,0.360701,0.549449,0.388516,0.91015,0.245756,7.89923,0.322604,,2.78546,84.6757,28.5246,149.413,2.78546,0.34,29.93054485321045,5.664074271917343,5.3487,1.6299999952316284,,,,,,,798,6.939130434,798,6.939130434,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Shohei Ohtani","LAD",110,475.071,405.39,121.666,60.5972,23.6889,2.83236,34.5475,93.0141,88.1487,62.1469,8.03808,104.216,3.36647,2.80489,0.494359,5.93413,25.1297,7.28078,0.300121,0.130816,0.21937,0.596325,0.395136,0.62819,0.43047,1.02333,0.328069,6.78187,0.323342,,1.17759,99.1304,43.9132,178.109,1.17759,0,45.22345507144928,-11.050926208496094,5.17786,1.5499999523162842,,,,,,,916.8,8.334545454,916.8,8.334545454,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",116,490.003,393.568,109.533,61.282,20.2972,1.07105,26.8825,80.0801,73.847,90.4361,4.95034,82.2904,2.81468,2.56997,0.614399,11.0538,6.0622,2.12172,0.278307,0.184562,0.167939,1.09899,0.41436,0.540235,0.411839,0.954596,0.261928,3.68721,0.288015,,-0.791576,94.9806,38.0277,167.434,-0.791576,-0.33,38.4298592209816,-6.211834043264389,5.02735,7.079999923706055,,,,,,,824.3,7.106034482,824.3,7.106034482,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Gunnar Henderson","BAL",110,470.585,415.002,114.64,64.231,22.7626,3.24145,24.4047,74.2813,69.5988,48.6201,2.259,106.82,3.58205,2.98637,0.393952,8.51948,12.0517,2.83846,0.276239,0.103318,0.226995,0.455158,0.354839,0.523128,0.378061,0.877967,0.246889,5.95125,0.314667,,0.387881,78.5655,23.8696,149.187,0.387881,1.11,26.708428472280502,6.0180782079696655,5.00885,9.329999923706055,,,,,,,711.8,6.47090909,711.8,6.47090909,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Cal Raleigh","SEA",108,425.994,372.39,84.6334,43.1152,15.7548,0.883473,24.8799,54.5693,67.8838,46.526,2.42106,112.549,3.4251,3.30974,0.343754,4.87075,2.91977,0.987311,0.227271,0.109217,0.264203,0.413384,0.316185,0.474758,0.34187,0.790943,0.247487,3.21084,0.25078,,-0.509804,58.8507,9.33754,127.611,-0.509804,13.94,12.865079879760742,19.384443759918213,4.80564,85.55000305175781,,,,,,,544,5.037037037,544,5.037037037,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Fernando Tatis Jr.","SDP",114,485.823,431.589,124.607,71.3775,23.9952,2.20129,27.0334,80.4577,76.8011,45.674,1.70839,99.0862,4.74983,3.09038,0.719757,9.10265,19.0722,5.08665,0.288717,0.0940136,0.203955,0.460952,0.360812,0.542426,0.388508,0.903238,0.253709,5.93282,0.316224,,0.837675,85.149,28.682,151.953,0.837675,4,30.797387719154358,-1.4259257316589355,4.71847,11.619999885559082,,,,,,,777.9,6.82368421,777.9,6.82368421,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Vladimir Guerrero Jr.","TOR",115,489.028,428.46,130.927,79.5843,23.5683,0.921006,26.8536,75.849,80.9137,51.8569,4.78861,68.2217,5.05364,3.25236,0.405053,12.0775,3.43472,1.33518,0.305576,0.106041,0.139505,0.760122,0.384423,0.552906,0.402066,0.937329,0.24733,3.32574,0.309157,,-0.862096,90.9876,34.148,164.712,-0.862096,0.03,35.123324394226074,-8.58731529302895,4.4322,13.180000305175781,,,,,,,808.6,7.031304347,808.6,7.031304347,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Julio Rodríguez","SEA",116,496.007,447.867,125.883,78.1736,21.0476,3.39449,23.2678,74.4858,69.6173,38.3504,2.25331,110.136,6.77303,2.59526,0.421774,8.04907,21.2908,5.11983,0.281073,0.0773182,0.222046,0.348209,0.34506,0.499084,0.36532,0.844145,0.218011,6.53757,0.32365,,1.2607,77.7801,20.1294,144.024,1.2607,-1.67,26.0909481048584,-0.1751546859741211,4.39213,13.710000038146973,,,,,,,712.7,6.143965517,712.7,6.143965517,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Mookie Betts","LAD",113,490.105,425.059,119.619,74.2879,23.8082,2.29132,19.2318,73.7628,67.2544,55.3731,1.02203,57.4908,4.99743,4.17164,0.503459,7.00594,9.38917,3.27068,0.281418,0.112982,0.117303,0.963164,0.367625,0.483946,0.371589,0.851571,0.202528,4.90026,0.284781,,-0.468514,79.2999,22.3352,138.629,-0.468514,-1.29,22.003583282232285,3.650843620300293,4.34882,13.65999984741211,,,,,,,695.3,6.153097345,695.3,6.153097345,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"José Ramírez","CLE",114,478.276,427.316,117.943,69.4184,24.589,2.92216,21.0132,70.9788,66.5027,43.0836,6.8974,54.3866,2.85615,4.57672,0.443982,5.04966,26.0701,7.23204,0.276008,0.0900809,0.113714,0.792172,0.342971,0.494753,0.358188,0.837723,0.218744,6.45849,0.271898,,1.45902,72.2851,16.6952,133.897,1.45902,4.82,19.894305109977722,6.139444589614868,4.34315,4.900000095367432,,,,,,,688.6,6.040350877,688.6,6.040350877,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Francisco Lindor","NYM",116,490.003,432.227,113.953,68.497,20.9364,2.15394,22.3657,72.3517,66.6926,42.948,1.42483,89.8445,7.22668,3.80559,0.469574,7.26196,17.2338,4.85604,0.263642,0.0876484,0.183355,0.478026,0.337567,0.477282,0.354181,0.81485,0.213641,5.82662,0.282832,,0.585051,72.4945,15.5416,128.773,0.585051,1.03,17.320398926734924,6.21770453453064,4.12958,14.149999618530273,,,,,,,653.8,5.636206896,653.8,5.636206896,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Kyle Tucker","CHC",114,493.399,423.525,119.71,70.7132,22.9297,2.92818,23.1393,76.1492,76.0653,62.0856,4.30768,68.4335,2.04961,4.40601,0.386994,6.6616,17.4395,5.54575,0.282653,0.125832,0.138698,0.907239,0.37362,0.514525,0.382597,0.888145,0.231873,5.66208,0.287108,,0.245479,84.1557,26.8081,146.858,0.245479,0.86,27.688031524419785,-4.998151898384094,4.05359,8.710000038146973,,,,,,,755.5,6.627192982,755.5,6.627192982,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Corbin Carroll","ARI",113,480.188,418.94,111.8,63.5646,22.9138,5.15641,20.1653,79.6676,63.5673,48.594,1.85839,93.7695,6.77894,2.95252,2.9222,6.85188,30.4184,4.78513,0.266864,0.101198,0.195277,0.518229,0.350273,0.490578,0.364706,0.84085,0.223714,8.0493,0.297556,,3.25193,75.0648,19.2528,130.677,3.25193,6.95,20.737197399139404,2.0091562271118164,4.01373,7.889999866485596,,,,,,,702.4,6.215929203,702.4,6.215929203,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Matt Chapman","SFG",114,488.032,424.79,107.464,57.9478,22.0363,2.11591,25.3645,71.6089,71.6037,54.4287,0.958597,118.217,4.61342,3.82693,0.372622,6.72201,7.19409,1.99493,0.252983,0.111527,0.242233,0.460412,0.341441,0.493953,0.362171,0.835393,0.24097,4.74996,0.288035,,-0.25684,75.3063,18.5826,132.583,-0.25684,1.93,18.617833375930786,3.689259171485901,3.99543,125.16999816894531,,,,,,,669.1,5.869298245,669.1,5.869298245,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Ronald Acuña Jr.","ATL",86,375.131,323.522,98.1461,59.5555,19.0454,1.09243,18.4527,68.3074,53.4095,43.4259,2.02036,63.6092,5.66886,2.12672,0.387072,6.42234,28.1905,9.28823,0.303367,0.115762,0.169566,0.682697,0.392911,0.5401,0.403221,0.933011,0.236733,6.40204,0.327166,,1.06583,70.141,26.5397,156.944,1.06583,2.49,26.421584844589233,-1.695659875869751,3.85507,37.599998474121094,,,,,,,629.8,7.323255813,629.8,7.323255813,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"William Contreras","MIL",113,448.927,394.03,104.927,67.0441,19.9072,0.302342,17.6729,56.1739,65.6608,48.3167,1.75688,92.027,3.43571,2.40601,0.738399,11.2627,4.07749,1.53295,0.266291,0.107627,0.204993,0.525027,0.349583,0.452902,0.351993,0.802484,0.186611,3.10155,0.304299,,-0.701112,65.6357,13.4571,123.417,-0.701112,6,11.777026951313019,10.359567642211914,3.84253,24.790000915527344,,,,,,,576.2,5.099115044,576.2,5.099115044,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Yordan Alvarez","HOU",90,386.826,330.69,98.7219,52.583,19.0738,0.982538,26.0826,62.1888,70.5429,46.9975,5.63985,62.2803,5.19636,3.62262,0.319406,6.4347,1.53861,0.487447,0.298533,0.121495,0.161003,0.754613,0.390461,0.598774,0.418447,0.989235,0.300241,3.17606,0.295342,,-0.649011,77.0154,32.0548,176.375,-0.649011,-0.07,32.94590198993683,-8.841929741203785,3.82797,17.149999618530273,,,,,,,688.4,7.648888888,688.4,7.648888888,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Adley Rutschman","BAL",108,428.163,373.136,96.9244,63.7842,18.5817,1.4486,13.1099,53.1611,51.3661,48.0099,1.98517,65.4493,3.11848,3.45015,0.448425,8.19651,0.934406,0.314599,0.259756,0.11213,0.152861,0.733543,0.346148,0.422722,0.339018,0.76887,0.162966,2.86384,0.281231,,-0.805644,58.1784,8.41321,121.86,-0.805644,6.6,9.837540686130524,11.155555248260498,3.64885,61.56999969482422,,,,,,,508.1,4.704629629,508.1,4.704629629,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Ketel Marte","ARI",105,445.819,388.905,109.552,63.9318,22.9102,1.68035,21.0296,65.6332,71.0639,49.2244,3.26922,72.8488,3.83646,3.16071,0.445511,9.52488,4.62843,1.45448,0.281693,0.110414,0.163405,0.675707,0.365318,0.511466,0.378451,0.876784,0.229773,4.01543,0.296868,,-0.533788,74.5692,22.7518,139.893,-0.533788,-0.23,20.577021777629852,-0.21179365552961826,3.64856,30.65999984741211,,,,,,,668.2,6.363809523,668.2,6.363809523,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Austin Riley","ATL",114,499.166,446.583,122.521,70.1317,23.8909,2.24436,26.2536,72.3705,79.561,41.1458,2.01365,120.323,7.12072,3.9691,0.347839,8.16379,2.21096,0.728057,0.274351,0.082429,0.241048,0.341961,0.342383,0.514263,0.369098,0.856646,0.239912,3.73869,0.316693,,-0.743983,79.7765,21.7586,134.064,-0.743983,-3.33,19.43925565481186,-1.5707406997680664,3.57486,29.6200008392334,,,,,,,712.2,6.247368421,712.2,6.247368421,,,,,,,,,,,,,,,,,,,"Austin Riley","18360",663586
