#,Name,B,Team,ESPN,Y!,Date,GT,$,Opp,Pitcher,%St,LU,PA,AB,H,R,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,R%,RazzID
1,Trea Turner,R,PHI,SS,SS,5/21,8,60.0,@COL,CPalmquist(L),96,N(1),5.0,4.5,1.47,0.89,0.18,0.70,0.20,0.34,0.84,0.324,0.374,0.529,0.903,100,16252
2,Bryce Harper,L,PHI,1B,1B,5/21,8,49.6,@COL,CPalmquist(L),93,N(2),4.9,4.1,1.27,0.87,0.20,0.72,0.09,0.67,0.97,0.307,0.404,0.527,0.931,100,11579
3,Shohei Ohtani,L,LAD,DH,DH,5/21,10,48.8,ARI,CBurnes(R),97,N(1),4.3,3.7,0.96,0.66,0.28,0.54,0.37,0.54,1.03,0.260,0.356,0.545,0.901,100,6602710
4,Nick Castellanos,R,PHI,OF,OF,5/21,8,43.0,@COL,CPalmquist(L),96,N(4),4.7,4.3,1.29,0.68,0.19,0.84,0.04,0.30,0.92,0.303,0.351,0.514,0.865,100,11737
5,Kyle Schwarber,L,PHI,DH,OF,5/21,8,40.6,@COL,CPalmquist(L),93,N(3),4.8,3.9,0.99,0.78,0.27,0.80,0.05,0.75,1.22,0.252,0.376,0.500,0.876,100,16478
6,Gunnar Henderson,L,BAL,SS,SS,5/21,1,37.8,@MIL,CPatrick(R),100,Y(3),4.5,4.0,1.05,0.67,0.25,0.72,0.11,0.41,1.03,0.264,0.336,0.523,0.859,100,683002
7,Julio Rodriguez,R,SEA,OF,OF,5/21,2,37.7,@CHW,SSmith(R),100,Y(3),4.5,4.1,1.14,0.59,0.21,0.65,0.19,0.35,0.90,0.278,0.344,0.482,0.826,100,677594
8,Ezequiel Tovar,R,COL,SS,SS,5/21,8,37.5,PHI,TWalker(R),100,Y(2),4.4,4.1,1.25,0.75,0.17,0.66,0.07,0.18,0.86,0.301,0.334,0.514,0.848,100,678662
9,Kyle Tucker,L,CHC,OF,OF,5/21,1,36.1,@MIA,MMeyer(R),100,Y(2),4.6,4.0,1.10,0.66,0.19,0.56,0.20,0.59,0.69,0.278,0.372,0.496,0.868,100,663656
10,Jordan Beck,R,COL,OF,OF,5/21,8,36.1,PHI,TWalker(R),100,Y(1),4.5,4.1,1.15,0.80,0.17,0.61,0.11,0.35,1.00,0.281,0.339,0.497,0.836,99,687597
11,Hunter Goodman,R,COL,C/OF,C/1B/ OF,5/21,8,35.1,PHI,TWalker(R),100,Y(3),4.3,4.0,1.10,0.69,0.22,0.77,0.01,0.24,0.87,0.277,0.325,0.523,0.848,100,696100
12,Fernando Tatis Jr.,R,SD,OF,OF,5/21,7,34.9,@TOR,KGausman(R),100,Y(1),4.6,4.2,1.07,0.63,0.22,0.52,0.26,0.30,1.01,0.256,0.309,0.471,0.780,100,665487
13,Bryson Stott,L,PHI,2B,2B/SS,5/21,8,34.4,@COL,CPalmquist(L),49,N(1),5.0,4.4,1.26,0.78,0.10,0.52,0.22,0.46,0.83,0.284,0.354,0.413,0.767,100,681082
14,J.T. Realmuto,R,PHI,C,C,5/21,8,33.2,@COL,CPalmquist(L),76,N(5),4.6,4.1,1.15,0.64,0.17,0.71,0.09,0.38,1.01,0.282,0.350,0.483,0.833,100,11739
15,Corbin Carroll,L,ARI,OF,OF,5/21,10,32.5,@LAD,DMay(R),97,N(1),4.7,4.1,0.98,0.65,0.22,0.51,0.28,0.47,1.05,0.240,0.327,0.459,0.786,100,682998
16,Alec Bohm,R,PHI,3B,1B/3B,5/21,8,32.0,@COL,CPalmquist(L),96,N(6),4.4,4.0,1.27,0.63,0.14,0.66,0.03,0.32,0.61,0.317,0.372,0.501,0.873,99,664761
17,Vladimir Guerrero Jr.,R,TOR,1B,1B/3B,5/21,7,30.2,SD,RVasquez(R),100,Y(2),4.3,3.7,1.07,0.71,0.19,0.60,0.03,0.49,0.54,0.290,0.378,0.502,0.880,100,665489
18,Brenton Doyle,R,COL,OF,OF,5/21,8,28.1,PHI,TWalker(R),100,Y(5),4.1,3.7,1.04,0.58,0.15,0.63,0.13,0.27,0.91,0.279,0.329,0.471,0.800,100,686668
19,Bobby Witt Jr.,R,KC,SS,SS,5/21,3,27.9,@SF,LWebb(R),100,Y(2),4.4,4.1,1.11,0.51,0.11,0.44,0.36,0.21,0.79,0.270,0.311,0.427,0.738,100,677951
20,Pete Crow-Armstrong,L,CHC,OF,OF,5/21,1,27.0,@MIA,MMeyer(R),100,Y(4),4.4,4.1,1.03,0.48,0.15,0.59,0.28,0.24,1.07,0.254,0.301,0.436,0.737,100,691718
